Id,SalePrice
1461,130010.50741877966
1462,165146.42226031097
1463,185989.4758864888
1464,190570.68731951062
1465,189534.60744221977
1466,174178.97632518504
1467,174116.27942686298
1468,168010.12589286218
1469,179899.9452872955
1470,126507.30615599587
1471,201599.64438158387
1472,96147.78367875956
1473,98443.98779700407
1474,149478.30779781542
1475,123267.64814815042
1476,386472.54995461745
1477,247464.2787895893
1478,283458.83171936404
1479,295607.59997577785
1480,446915.76848362584
1481,335102.4733486754
1482,204021.65365481883
1483,177235.13356226584
1484,173239.2231169366
1485,177569.32350723818
1486,197611.21765423918
1487,324856.7797380125
1488,234126.06705384876
1489,202828.33956934538
1490,233443.7209580339
1491,194614.85797614255
1492,93858.84878660271
1493,173609.53089015896
1494,275783.57867844286
1495,277808.05160066695
1496,236274.63915916666
1497,181759.12456176063
1498,162166.60322628677
1499,162132.3279083247
1500,159102.009239106
1501,172569.5960246888
1502,145975.19639720133
1503,279930.9638557604
1504,235332.2321750223
1505,221619.46044552082
1506,182922.60364627402
1507,250804.92107977252
1508,199673.0041800534
1509,160818.89501134885
1510,144963.54038358567
1511,146178.5913050443
1512,173178.07104748607
1513,142604.94663171636
1514,155307.14594016862
1515,189928.79674706102
1516,149423.1971740353
1517,158378.1150509876
1518,133248.50722186558
1519,214749.17530185205
1520,132613.7929789012
1521,133081.0261128734
1522,164621.73518553976
1523,118086.27722657687
1524,125986.88953717561
1525,129275.07700270842
1526,117387.04953282037
1527,105973.98756732061
1528,133349.0033578268
1529,145430.5950909568
1530,170565.0322379799
1531,109961.66280355793
1532,97280.60148584729
1533,141832.22721803418
1534,122261.00823443173
1535,152852.46314189833
1536,107267.00748503527
1537,65426.48236384699
1538,146068.79573852042
1539,191901.77310272062
1540,100726.51041483479
1541,135029.44539552744
1542,138448.62119544315
1543,199792.751624474
1544,82575.60584247476
1545,110063.52683069136
1546,130189.68827349172
1547,135313.60978538034
1548,131596.7525872438
1549,117499.0297608975
1550,136800.242085953
1551,110433.820109898
1552,132854.06050759522
1553,144016.91970272115
1554,116763.67186327923
1555,160577.3568378494
1556,76586.49975615204
1557,99378.94445907543
1558,97360.622036346
1559,74716.69060066319
1560,133895.62716065824
1561,132432.15449797112
1562,132269.72671197008
1563,119839.5531335079
1564,163766.38146236143
1565,145942.27783423307
1566,230771.82500831646
1567,79619.87757180535
1568,225686.23319109407
1569,142231.9281976411
1570,136858.07812852645
1571,126177.24828555816
1572,146071.81953305582
1573,245014.7689459065
1574,109852.45618662384
1575,212381.36828927376
1576,239939.94156183215
1577,195070.10605514573
1578,148124.9808028877
1579,143710.09003406888
1580,194616.21535009722
1581,151100.3156571712
1582,127561.07744087496
1583,309939.3567980784
1584,226490.57889378976
1585,142129.6881979755
1586,75448.29410397487
1587,98663.82369454023
1588,147647.86625166517
1589,106062.67312106404
1590,136286.4682068098
1591,98945.67465397781
1592,120486.02410252363
1593,133569.30691660487
1594,119463.86349618062
1595,112300.87410029948
1596,221285.14955433964
1597,181829.5371637978
1598,209432.4481326639
1599,167803.8785311156
1600,174260.16401250064
1601,68332.89609996919
1602,118922.7873024639
1603,86883.53885760432
1604,256954.86282198023
1605,236733.218423507
